2011-04-09 21:10:13|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 22:55:33|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 22:56:10|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 22:56:13|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 22:57:02|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:03:23|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-09 23:03:28|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:06:16|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:06:22|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:06:47|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:08:15|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:08:51|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:09:38|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:10:33|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\control_session.php Line=65 : Wrong Account object, the session  or the user object is empty !!? (control session.cache_limiter, session.cache_expire) 
2011-04-09 23:10:56|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-09 23:12:15|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-09 23:12:15|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=156caevc8m7vs7indbdck89tv5
2011-04-09 23:12:15|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
